6.890413413819784783e-01,9.648975580100568328e-01,3.638699945509157319e-01,8.576803873639931020e-01,3.795335602046632228e-01,6.753043420038731259e-01,8.228378405702885257e-02,9.390954453884392539e-01,9.255040757730292889e-01,9.228906647605991109e-01
6.563273037681200961e-01,1.482514422301477452e-01,6.943547377490050243e-01,6.998895670150291348e-01,5.757157938248669282e-01,5.570678461869786879e-01,8.190596649292447573e-02,8.405754423843349032e-01,4.484008783319116676e-01,8.236456466938266718e-01
5.671061019840543116e-01,7.664151732080729529e-01,3.839938231411876846e-01,4.210093911905805619e-01,9.123819451614803011e-01,1.820172186683294280e-01,5.508358996694341370e-01,9.028522335475455129e-01,8.824490529751762846e-01,7.449639855027758717e-01
7.697912850557903086e-01,7.114805742254803889e-01,5.704334416942841157e-01,6.158342217683667741e-01,8.003317111187233657e-01,4.157358823041353846e-01,6.271952874907071873e-01,4.027343814465758065e-01,3.947216762344890606e-01,8.506744008330957563e-03
5.342753207235131363e-01,2.996642236350988142e-03,1.450172446937905146e-01,5.034132025443561753e-01,8.403234842307409913e-01,2.282183682546854442e-01,9.135675659285231731e-01,2.074741273144984355e-01,2.601128549789133437e-02,3.251815611717890908e-01
9.774126527339587200e-01,2.244133042561233804e-01,7.773488828457308930e-02,8.468385908193339917e-01,2.198974543579684804e-01,5.693729688376685250e-01,8.754570935226400064e-01,2.747675360295127600e-01,5.807637179140450190e-01,9.196933730953041897e-01
5.534825041836739512e-01,1.439815777349018333e-02,7.413704590395642224e-01,4.312130434321902461e-01,1.590828446061061108e-01,6.816602186050679801e-02,7.956419106468231028e-01,7.095706564240866765e-01,1.228079103000020433e-01,7.287045441302437698e-01
6.453108074502108549e-01,1.392198959241660594e-01,9.001343613987706771e-01,4.943904255674872461e-01,9.138231209554100731e-01,9.815106858722987271e-01,3.385962457485632848e-01,8.176680400635771839e-02,7.926581763792570623e-01,7.239994690343704020e-01
4.328058733439754668e-01,7.637099064619861100e-01,2.808046795397818318e-01,4.220671770479993423e-01,7.798471677010265779e-01,6.987981053643164131e-01,6.544414223509165129e-02,3.136401223856000176e-02,4.418926860637614196e-01,5.166896365383891743e-01
9.993660133384418831e-01,3.146690227992365863e-02,5.235043734019707573e-01,6.440952861882954794e-01,5.487100940268412330e-01,1.567726096778047085e-01,5.927737660091092486e-02,6.324560849308951127e-01,8.146459235339750249e-01,4.167028847558721383e-01
